total_bill,tip,sex,smoker,day,time,size,time_order
3.07,1.0,Female,Yes,Sat,Dinner,1,2023-01-19
20.23,2.01,Male,No,Sat,Dinner,2,2023-01-22
15.01,2.09,Male,Yes,Sat,Dinner,2,2023-01-18
12.02,1.97,Male,No,Sat,Dinner,2,2023-01-20
17.07,3.0,Female,No,Sat,Dinner,3,2023-01-05
26.86,3.14,Female,Yes,Sat,Dinner,2,2023-01-12
25.28,5.0,Female,Yes,Sat,Dinner,2,2023-01-20
14.73,2.2,Female,No,Sat,Dinner,2,2023-01-01
10.51,1.25,Male,No,Sat,Dinner,2,2023-01-19
17.92,3.08,Male,Yes,Sat,Dinner,2,2023-01-17
27.2,4.0,Male,No,Thur,Lunch,4,2023-01-20
22.76,3.0,Male,No,Thur,Lunch,2,2023-01-08
17.29,2.71,Male,No,Thur,Lunch,2,2023-01-13
19.44,3.0,Male,Yes,Thur,Lunch,2,2023-01-01
16.66,3.4,Male,No,Thur,Lunch,2,2023-01-15
10.07,1.83,Female,No,Thur,Lunch,1,2023-01-21
32.68,5.0,Male,Yes,Thur,Lunch,2,2023-01-24
15.98,2.03,Male,No,Thur,Lunch,2,2023-01-26
34.83,5.17,Female,No,Thur,Lunch,4,2023-01-13
13.03,2.0,Male,No,Thur,Lunch,2,2023-01-30
18.28,4.0,Male,No,Thur,Lunch,2,2023-01-14
24.71,5.85,Male,No,Thur,Lunch,2,2023-01-16
21.16,3.0,Male,No,Thur,Lunch,2,2023-01-17
28.97,3.0,Male,Yes,Fri,Dinner,2,2023-01-24
22.49,3.5,Male,No,Fri,Dinner,2,2023-01-05
5.75,1.0,Female,Yes,Fri,Dinner,2,2023-01-04
16.32,4.3,Female,Yes,Fri,Dinner,2,2023-01-06
22.75,3.25,Female,No,Fri,Dinner,2,2023-01-03
40.17,4.73,Male,Yes,Fri,Dinner,4,2023-01-02
27.28,4.0,Male,Yes,Fri,Dinner,2,2023-01-10
12.03,1.5,Male,Yes,Fri,Dinner,2,2023-01-21
21.01,3.0,Male,Yes,Fri,Dinner,2,2023-01-17
12.46,1.5,Male,No,Fri,Dinner,2,2023-01-03
11.35,2.5,Female,Yes,Fri,Dinner,2,2023-01-15
15.38,3.0,Female,Yes,Fri,Dinner,2,2023-01-29
44.3,2.5,Female,Yes,Sat,Dinner,3,2023-01-15
22.42,3.48,Female,Yes,Sat,Dinner,2,2023-01-23
20.92,4.08,Female,No,Sat,Dinner,2,2023-01-11
15.36,1.64,Male,Yes,Sat,Dinner,2,2023-01-04
20.49,4.06,Male,Yes,Sat,Dinner,2,2023-01-21
25.21,4.29,Male,Yes,Sat,Dinner,2,2023-01-12
18.24,3.76,Male,No,Sat,Dinner,2,2023-01-12
14.31,4.0,Female,Yes,Sat,Dinner,2,2023-01-11
14.0,3.0,Male,No,Sat,Dinner,2,2023-01-05
7.25,1.0,Female,No,Sat,Dinner,1,2023-01-03
38.07,4.0,Male,No,Sun,Dinner,3,2023-01-24
23.95,2.55,Male,No,Sun,Dinner,2,2023-01-17
25.71,4.0,Female,No,Sun,Dinner,3,2023-01-18
17.31,3.5,Female,No,Sun,Dinner,2,2023-01-30
29.93,5.07,Male,No,Sun,Dinner,4,2023-01-09
10.65,1.5,Female,No,Thur,Lunch,2,2023-01-08
12.43,1.8,Female,No,Thur,Lunch,2,2023-01-19
24.08,2.92,Female,No,Thur,Lunch,4,2023-01-04
11.69,2.31,Male,No,Thur,Lunch,2,2023-01-19
13.42,1.68,Female,No,Thur,Lunch,2,2023-01-16
14.26,2.5,Male,No,Thur,Lunch,2,2023-01-05
15.95,2.0,Male,No,Thur,Lunch,2,2023-01-25
12.48,2.52,Female,No,Thur,Lunch,2,2023-01-08
29.8,4.2,Female,No,Thur,Lunch,6,2023-01-09
8.52,1.48,Male,No,Thur,Lunch,2,2023-01-07
14.52,2.0,Female,No,Thur,Lunch,2,2023-01-02
11.38,2.0,Female,No,Thur,Lunch,2,2023-01-11
22.82,2.18,Male,No,Thur,Lunch,3,2023-01-16
19.08,1.5,Male,No,Thur,Lunch,2,2023-01-23
20.27,2.83,Female,No,Thur,Lunch,2,2023-01-18
11.17,1.5,Female,No,Thur,Lunch,2,2023-01-03
12.26,2.0,Female,No,Thur,Lunch,2,2023-01-15
18.26,3.25,Female,No,Thur,Lunch,2,2023-01-09
8.51,1.25,Female,No,Thur,Lunch,2,2023-01-18
10.33,2.0,Female,No,Thur,Lunch,2,2023-01-04
14.15,2.0,Female,No,Thur,Lunch,2,2023-01-04
16.0,2.0,Male,Yes,Thur,Lunch,2,2023-01-01
13.16,2.75,Female,No,Thur,Lunch,2,2023-01-03
17.47,3.5,Female,No,Thur,Lunch,2,2023-01-29
34.3,6.7,Male,No,Thur,Lunch,6,2023-01-11
41.19,5.0,Male,No,Thur,Lunch,5,2023-01-21
27.05,5.0,Female,No,Thur,Lunch,6,2023-01-09
16.43,2.3,Female,No,Thur,Lunch,2,2023-01-06
8.35,1.5,Female,No,Thur,Lunch,2,2023-01-29
18.64,1.36,Female,No,Thur,Lunch,3,2023-01-02
11.87,1.63,Female,No,Thur,Lunch,2,2023-01-06
9.78,1.73,Male,No,Thur,Lunch,2,2023-01-18
7.51,2.0,Male,No,Thur,Lunch,2,2023-01-02
14.07,2.5,Male,No,Sun,Dinner,2,2023-01-12
13.13,2.0,Male,No,Sun,Dinner,2,2023-01-11
17.26,2.74,Male,No,Sun,Dinner,3,2023-01-01
24.55,2.0,Male,No,Sun,Dinner,4,2023-01-19
19.77,2.0,Male,No,Sun,Dinner,4,2023-01-25
29.85,5.14,Female,No,Sun,Dinner,5,2023-01-22
48.17,5.0,Male,No,Sun,Dinner,6,2023-01-05
25.0,3.75,Female,No,Sun,Dinner,4,2023-01-25
13.39,2.61,Female,No,Sun,Dinner,2,2023-01-02
16.49,2.0,Male,No,Sun,Dinner,4,2023-01-15
21.5,3.5,Male,No,Sun,Dinner,4,2023-01-25
12.66,2.5,Male,No,Sun,Dinner,2,2023-01-02
16.21,2.0,Female,No,Sun,Dinner,3,2023-01-27
13.81,2.0,Male,No,Sun,Dinner,2,2023-01-20
17.51,3.0,Female,Yes,Sun,Dinner,2,2023-01-18
24.52,3.48,Male,No,Sun,Dinner,3,2023-01-25
20.76,2.24,Male,No,Sun,Dinner,2,2023-01-04
31.71,4.5,Male,No,Sun,Dinner,4,2023-01-22
10.59,1.61,Female,Yes,Sat,Dinner,2,2023-01-14
10.63,2.0,Female,Yes,Sat,Dinner,2,2023-01-20
50.81,10.0,Male,Yes,Sat,Dinner,3,2023-01-13
15.81,3.16,Male,Yes,Sat,Dinner,2,2023-01-11
7.25,5.15,Male,Yes,Sun,Dinner,2,2023-01-14
31.85,3.18,Male,Yes,Sun,Dinner,2,2023-01-23
16.82,4.0,Male,Yes,Sun,Dinner,2,2023-01-17
32.9,3.11,Male,Yes,Sun,Dinner,2,2023-01-12
17.89,2.0,Male,Yes,Sun,Dinner,2,2023-01-03
14.48,2.0,Male,Yes,Sun,Dinner,2,2023-01-12
9.6,4.0,Female,Yes,Sun,Dinner,2,2023-01-17
34.63,3.55,Male,Yes,Sun,Dinner,2,2023-01-23
34.65,3.68,Male,Yes,Sun,Dinner,4,2023-01-19
23.33,5.65,Male,Yes,Sun,Dinner,2,2023-01-29
45.35,3.5,Male,Yes,Sun,Dinner,3,2023-01-21
23.17,6.5,Male,Yes,Sun,Dinner,4,2023-01-10
40.55,3.0,Male,Yes,Sun,Dinner,2,2023-01-20
20.69,5.0,Male,No,Sun,Dinner,5,2023-01-19
20.9,3.5,Female,Yes,Sun,Dinner,3,2023-01-27
30.46,2.0,Male,Yes,Sun,Dinner,5,2023-01-09
18.15,3.5,Female,Yes,Sun,Dinner,3,2023-01-28
23.1,4.0,Male,Yes,Sun,Dinner,3,2023-01-07
15.69,1.5,Male,Yes,Sun,Dinner,2,2023-01-18
19.81,4.19,Female,Yes,Thur,Lunch,2,2023-01-03
28.44,2.56,Male,Yes,Thur,Lunch,2,2023-01-21
15.48,2.02,Male,Yes,Thur,Lunch,2,2023-01-25
16.58,4.0,Male,Yes,Thur,Lunch,2,2023-01-19
7.56,1.44,Male,No,Thur,Lunch,2,2023-01-04
10.34,2.0,Male,Yes,Thur,Lunch,2,2023-01-15
43.11,5.0,Female,Yes,Thur,Lunch,4,2023-01-07
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-01-25
13.51,2.0,Male,Yes,Thur,Lunch,2,2023-01-03
18.71,4.0,Male,Yes,Thur,Lunch,3,2023-01-21
12.74,2.01,Female,Yes,Thur,Lunch,2,2023-01-07
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-01-19
16.4,2.5,Female,Yes,Thur,Lunch,2,2023-01-07
20.53,4.0,Male,Yes,Thur,Lunch,4,2023-01-10
16.47,3.23,Female,Yes,Thur,Lunch,3,2023-01-24
26.59,3.41,Male,Yes,Sat,Dinner,3,2023-01-30
38.73,3.0,Male,Yes,Sat,Dinner,4,2023-01-02
24.27,2.03,Male,Yes,Sat,Dinner,2,2023-01-13
12.76,2.23,Female,Yes,Sat,Dinner,2,2023-01-09
30.06,2.0,Male,Yes,Sat,Dinner,3,2023-01-09
25.89,5.16,Male,Yes,Sat,Dinner,4,2023-01-15
48.33,9.0,Male,No,Sat,Dinner,4,2023-01-13
13.27,2.5,Female,Yes,Sat,Dinner,2,2023-01-02
28.17,6.5,Female,Yes,Sat,Dinner,3,2023-01-05
12.9,1.1,Female,Yes,Sat,Dinner,2,2023-01-30
28.15,3.0,Male,Yes,Sat,Dinner,5,2023-01-05
11.59,1.5,Male,Yes,Sat,Dinner,2,2023-01-30
7.74,1.44,Male,Yes,Sat,Dinner,2,2023-01-16
30.14,3.09,Female,Yes,Sat,Dinner,4,2023-01-26
12.16,2.2,Male,Yes,Fri,Lunch,2,2023-01-19
13.42,3.48,Female,Yes,Fri,Lunch,2,2023-01-02
8.58,1.92,Male,Yes,Fri,Lunch,1,2023-01-07
15.98,3.0,Female,No,Fri,Lunch,3,2023-01-11
13.42,1.58,Male,Yes,Fri,Lunch,2,2023-01-20
16.27,2.5,Female,Yes,Fri,Lunch,2,2023-01-08
10.09,2.0,Female,Yes,Fri,Lunch,2,2023-01-07
20.45,3.0,Male,No,Sat,Dinner,4,2023-01-21
13.28,2.72,Male,No,Sat,Dinner,2,2023-01-09
22.12,2.88,Female,Yes,Sat,Dinner,2,2023-01-27
24.01,2.0,Male,Yes,Sat,Dinner,4,2023-01-30
15.69,3.0,Male,Yes,Sat,Dinner,3,2023-01-11
11.61,3.39,Male,No,Sat,Dinner,2,2023-01-04
10.77,1.47,Male,No,Sat,Dinner,2,2023-01-25
15.53,3.0,Male,Yes,Sat,Dinner,2,2023-01-07
10.07,1.25,Male,No,Sat,Dinner,2,2023-01-24
12.6,1.0,Male,Yes,Sat,Dinner,2,2023-01-22
32.83,1.17,Male,Yes,Sat,Dinner,2,2023-01-07
35.83,4.67,Female,No,Sat,Dinner,3,2023-01-19
29.03,5.92,Male,No,Sat,Dinner,3,2023-01-07
27.18,2.0,Female,Yes,Sat,Dinner,2,2023-01-17
22.67,2.0,Male,Yes,Sat,Dinner,2,2023-01-24
17.82,1.75,Male,No,Sat,Dinner,2,2023-01-11
18.78,3.0,Female,No,Thur,Dinner,2,2023-01-14
